template_key,template_name,mode,distance_nm,angle_deg,target_range_nm,power_coeff_db,radar_direction_gain_db,jammer_mode_power_db,effective_jammer_power_db,jsr_db,jam_probability
mid_fcr_compact,Mid-Generation Fire Control Radar,sector,20,50,20.0,16.0,-36.0,27.0,27.0,-33.62658043980207,0.0011987025570877365
mid_fcr_compact,Mid-Generation Fire Control Radar,sector,20,60,20.0,16.0,-36.0,27.0,27.0,-33.62658043980207,0.0011987025570877365
mid_fcr_compact,Mid-Generation Fire Control Radar,sector,20,70,20.0,16.0,-36.0,27.0,27.0,-33.62658043980207,0.0011987025570877365
mid_fcr_compact,Mid-Generation Fire Control Radar,sector,20,80,20.0,16.0,-36.0,27.0,27.0,-33.62658043980207,0.0011987025570877365
mid_fcr_compact,Mid-Generation Fire Control Radar,sector,20,90,20.0,16.0,-36.0,27.0,27.0,-33.62658043980207,0.0011987025570877365
mid_fcr_compact,Mid-Generation Fire Control Radar,sector,30,0,20.0,16.0,6.38160282421013e-05,27.0,27.0,-1.1483418048874512,0.44283396982365086
mid_fcr_compact,Mid-Generation Fire Control Radar,sector,30,10,20.0,16.0,-18.20182644634626,27.0,27.0,-19.35023206726195,0.020431258382799126
mid_fcr_compact,Mid-Generation Fire Control Radar,sector,30,20,20.0,16.0,-23.651364519313827,27.0,27.0,-24.799770140229516,0.006964407108183629
mid_fcr_compact,Mid-Generation Fire Control Radar,sector,30,30,20.0,16.0,-29.99899108978337,27.0,27.0,-31.14739671069906,0.001966602428258003
mid_fcr_compact,Mid-Generation Fire Control Radar,sector,30,40,20.0,16.0,-36.0,27.0,27.0,-37.14840562091569,0.0005930248081203608
mid_fcr_compact,Mid-Generation Fire Control Radar,sector,30,50,20.0,16.0,-36.0,27.0,27.0,-37.14840562091569,0.0005930248081203608
mid_fcr_compact,Mid-Generation Fire Control Radar,sector,30,60,20.0,16.0,-36.0,27.0,27.0,-37.14840562091569,0.0005930248081203608
mid_fcr_compact,Mid-Generation Fire Control Radar,sector,30,70,20.0,16.0,-36.0,27.0,27.0,-37.14840562091569,0.0005930248081203608
mid_fcr_compact,Mid-Generation Fire Control Radar,sector,30,80,20.0,16.0,-36.0,27.0,27.0,-37.14840562091569,0.0005930248081203608
mid_fcr_compact,Mid-Generation Fire Control Radar,sector,30,90,20.0,16.0,-36.0,27.0,27.0,-37.14840562091569,0.0005930248081203608
mid_fcr_compact,Mid-Generation Fire Control Radar,sector,40,0,20.0,16.0,6.38160282421013e-05,27.0,27.0,-3.6471165370534493,0.3253212913921175
mid_fcr_compact,Mid-Generation Fire Control Radar,sector,40,10,20.0,16.0,-18.20182644634626,27.0,27.0,-21.849006799427947,0.012495637144719567
mid_fcr_compact,Mid-Generation Fire Control Radar,sector,40,20,20.0,16.0,-23.651364519313827,27.0,27.0,-27.298544872395517,0.004236767247145696
mid_fcr_compact,Mid-Generation Fire Control Radar,sector,40,30,20.0,16.0,-29.99899108978337,27.0,27.0,-33.64617144286506,0.0011940205864588997
mid_fcr_compact,Mid-Generation Fire Control Radar,sector,40,40,20.0,16.0,-36.0,27.0,27.0,-39.64718035308169,0.0003598598185729951
mid_fcr_compact,Mid-Generation Fire Control Radar,sector,40,50,20.0,16.0,-36.0,27.0,27.0,-39.64718035308169,0.0003598598185729951
mid_fcr_compact,Mid-Generation Fire Control Radar,sector,40,60,20.0,16.0,-36.0,27.0,27.0,-39.64718035308169,0.0003598598185729951
mid_fcr_compact,Mid-Generation Fire Control Radar,sector,40,70,20.0,16.0,-36.0,27.0,27.0,-39.64718035308169,0.0003598598185729951
mid_fcr_compact,Mid-Generation Fire Control Radar,sector,40,80,20.0,16.0,-36.0,27.0,27.0,-39.64718035308169,0.0003598598185729951
mid_fcr_compact,Mid-Generation Fire Control Radar,sector,40,90,20.0,16.0,-36.0,27.0,27.0,-39.64718035308169,0.0003598598185729951
mid_fcr_compact,Mid-Generation Fire Control Radar,sector,50,0,20.0,16.0,6.38160282421013e-05,27.0,27.0,-5.585316797214578,0.2465564064217052
mid_fcr_compact,Mid-Generation Fire Control Radar,sector,50,10,20.0,16.0,-18.20182644634626,27.0,27.0,-23.78720705958908,0.008514435158432903
mid_fcr_compact,Mid-Generation Fire Control Radar,sector,50,20,20.0,16.0,-23.651364519313827,27.0,27.0,-29.236745132556646,0.002879229920260393
mid_fcr_compact,Mid-Generation Fire Control Radar,sector,50,30,20.0,16.0,-29.99899108978337,27.0,27.0,-35.584371703026186,0.0008106409634530703
mid_fcr_compact,Mid-Generation Fire Control Radar,sector,50,40,20.0,16.0,-36.0,27.0,27.0,-41.58538061324282,0.00024424947854647126
